,alginate,,alg+Ac,,AC,,a1,a2,a3,a4,a5,a6,a7,a8
4226,69.180551,,72.815723,,64.75429,,70.657005,62.285062,63.538714,72.898148,67.446469,63.33606,42.462329,39.028953
4224,69.192811,,72.831549,,64.766002,,70.660144,62.297045,63.547775,72.892359,67.427222,63.332552,42.480833,39.051729
4222,69.199285,,72.85252,,64.777633,,70.663265,62.308871,63.565597,72.878902,67.410142,63.32693,42.499347,38.988228
4220,69.201903,,72.873465,,64.792598,,70.669044,62.319701,63.586308,72.860351,67.397384,63.321587,42.515055,38.838872
4218,69.198738,,72.896965,,64.810891,,70.677476,62.329455,63.604052,72.834145,67.393251,63.316514,42.52233,38.575532
4216,69.193647,,72.910117,,64.818856,,70.685885,62.338051,63.618832,72.80798,67.395586,63.313698,42.521182,38.3128
4214,69.184703,,72.915511,,64.81992,,70.699615,62.345409,63.627728,72.786979,67.408689,63.309141,42.511621,38.07914
4212,69.175764,,72.907999,,64.807275,,70.710646,62.349485,63.627823,72.773698,67.428249,63.302835,42.499282,37.931241
4210,69.168756,,72.885019,,64.774128,,70.724321,62.35216,63.61913,72.768129,67.452112,63.292778,42.484167,37.925416
4208,69.159824,,72.854317,,64.740938,,70.732632,62.353354,63.601661,72.770265,67.47597,63.278962,42.471896,37.976011
4206,69.15475,,72.821053,,64.704301,,70.735583,62.35102,63.575427,72.782656,67.493373,63.261377,42.462467,38.054472
4204,69.147753,,72.790378,,64.677828,,70.727849,62.347042,63.546276,72.800178,67.500024,63.244003,42.464296,38.104213
4202,69.144613,,72.767436,,64.668301,,70.709443,62.339371,63.514211,72.817711,67.49593,63.226829,42.474564,38.040842
4200,69.143403,,72.75479,,64.662101,,70.685706,62.331859,63.485067,72.832699,67.481099,63.213835,42.493264,37.977452
4198,69.142195,,72.749855,,64.659222,,70.656644,62.320492,63.45884,72.845146,67.455539,63.209001,42.517589,37.829792
4196,69.144842,,72.752624,,64.652869,,70.627588,62.31306,63.441349,72.852498,67.42785,63.210323,42.541939,37.710438
4194,69.147491,,72.763087,,64.636262,,70.598537,62.303579,63.429672,72.852207,67.398033,63.221782,42.560732,37.591263
4192,69.148217,,72.770961,,64.616195,,70.569492,62.295907,63.420891,72.849385,67.378977,63.235393,42.579597,37.528157
4190,69.150871,,72.778818,,64.589286,,70.540451,62.289965,63.417909,72.844036,67.366381,63.247162,42.590164,37.465047
4188,69.149677,,72.778956,,64.562318,,70.508758,62.287645,63.417812,72.838711,67.366679,63.253092,42.598056,37.429787
4186,69.146561,,72.773952,,64.535291,,70.482384,62.2869,63.417689,72.838512,67.379864,63.253172,42.597691,37.422239
4184,69.141523,,72.766374,,64.518354,,70.461323,62.293563,63.423349,72.835786,67.403782,63.249389,42.594661,37.442265
4182,69.13649,,72.75879,,64.514873,,70.450877,62.287834,63.431881,72.833082,67.431991,63.241733,42.581903,37.43431
4180,69.13146,,72.75376,,64.528206,,70.456339,62.311779,63.446182,72.825305,67.458054,63.234184,42.564996,37.426181
4178,69.126435,,72.751283,,64.554946,,70.469733,62.341569,63.463343,72.815008,67.479828,63.230722,42.542387,37.390264
4176,69.121414,,72.756475,,64.588319,,70.485745,62.367352,63.477563,72.802191,67.486598,63.239316,42.514067,37.354273
4174,69.114474,,72.766768,,64.631686,,70.504374,62.387153,63.491742,72.786858,67.478374,63.257965,42.482823,37.345732
4172,69.107538,,72.779599,,64.668166,,70.512371,62.391107,63.497192,72.774099,67.453023,63.292645,42.448654,37.337028
4170,69.09676,,72.79752,,64.70451,,70.515045,62.385126,63.493924,72.763913,67.414841,63.336173,42.408776,37.355591
4168,69.084065,,72.812857,,64.737349,,70.509755,62.373153,63.484844,72.75121,67.374546,63.376979,42.36877,37.428666
4166,69.067529,,72.825612,,64.770054,,70.501801,62.359133,63.475743,72.738536,67.340707,63.411879,42.331422,37.501307
4164,69.049077,,72.833233,,64.802623,,70.493833,62.348989,63.460841,72.728431,67.321883,63.428902,42.293949,37.573517
4162,69.02871,,72.835727,,64.828329,,70.488492,62.338776,63.451703,72.720892,67.313783,63.432036,42.261919,37.67254
4160,69.008351,,72.8331,,64.84718,,70.483133,62.33047,63.442545,72.718458,67.314261,63.419282,42.235326,37.716661
4158,68.991844,,72.825356,,64.859187,,70.48568,62.322099,63.436253,72.723661,67.319033,63.39463,42.216947,37.706162
4156,68.979189,,72.812502,,64.860425,,70.493481,62.311688,63.435708,72.733958,67.323817,63.362067,42.206774,37.668428
4154,68.970384,,72.802192,,64.852125,,70.503892,62.30319,63.440904,72.754416,67.328614,63.33157,42.207575,37.576548
4152,68.965429,,72.794422,,64.840465,,70.522185,62.298583,63.448947,72.785028,67.335563,63.301142,42.224892,37.430805
4150,68.964322,,72.794286,,64.825449,,70.540439,62.297872,63.456952,72.823248,67.344662,63.280763,42.255929,37.285401
4148,68.967062,,72.801773,,64.807083,,70.561289,62.303037,63.46492,72.869067,67.353773,63.272429,42.30067,37.113424
4146,68.967884,,72.809239,,64.785372,,70.576829,62.30815,63.467092,72.909808,67.360759,63.27215,42.345236,37.022485
