Frequency (Hz),Relative Permittivity
98625.21794868784,2.299852207933325
102807.32238308647,2.2998459473937847
107166.76480328644,2.2998394219391076
111711.06505048242,2.299832620383976
116448.06183726854,2.299825531072928
121385.9262690629,2.2998181418607833
126533.17593889429,2.299810440092263
131898.68961986693,2.299802412580787
137491.72258064203,2.2997940455864
143321.92255035738,2.2997853247928086
149399.3463605256,2.299776235283483
155734.4772926135,2.2997667615167936
162338.24316122817,2.299756887300144
169222.03516410355,2.2997465957630605
176397.72753140453,2.299735869329204
183877.69800823307,2.299724689687253
191674.8492056813,2.2997130377606307
199802.63085725508,2.2997008936760186
208275.06301905186,2.299688236730617
217106.7602537267,2.2996750453581147
226312.95683995297,2.2996612970933032
235909.53305086386,2.2996469685353036
245913.04254680465,2.299632035309346
256340.7409296515,2.299616472027053
267210.6155079438,2.299600252245174
